
 sfworker.cc l261 tx_time 28.302407, tti 5722, rnti 95
 sfworker.cc l261 tx_time 28.304407, tti 5724, rnti 95
 sfworker.cc l261 tx_time 28.306407, tti 5726, rnti 95
 sfworker.cc l261 tx_time 29.284408, tti 6704, rnti 95
 sfworker.cc l261 tx_time 29.294408, tti 6714, rnti 95
 sfworker.cc l261 tx_time 29.296408, tti 6716, rnti 95
 sfworker.cc l261 tx_time 29.298408, tti 6718, rnti 95
 sfworker.cc l261 tx_time 29.302408, tti 6722, rnti 95
 sfworker.cc l261 tx_time 29.304408, tti 6724, rnti 95
 sfworker.cc l261 tx_time 29.306408, tti 6726, rnti 95
 sfworker.cc l261 tx_time 30.284409, tti 7704, rnti 95
 sfworker.cc l261 tx_time 30.294409, tti 7714, rnti 95
 sfworker.cc l261 tx_time 30.296409, tti 7716, rnti 95
 sfworker.cc l261 tx_time 30.298409, tti 7718, rnti 95
 sfworker.cc l261 tx_time 30.302409, tti 7722, rnti 95
 sfworker.cc l261 tx_time 30.304409, tti 7724, rnti 95
 sfworker.cc l261 tx_time 30.306409, tti 7726, rnti 95
 sfworker.cc l261 tx_time 31.284410, tti 8704, rnti 95
 sfworker.cc l261 tx_time 31.294410, tti 8714, rnti 95
 sfworker.cc l261 tx_time 31.296410, tti 8716, rnti 95
 sfworker.cc l261 tx_time 31.298410, tti 8718, rnti 95
 sfworker.cc l261 tx_time 31.302410, tti 8722, rnti 95
 sfworker.cc l261 tx_time 31.304410, tti 8724, rnti 95
 sfworker.cc l261 tx_time 32.284411, tti 9704, rnti 95
 sfworker.cc l261 tx_time 32.294411, tti 9714, rnti 95
 sfworker.cc l261 tx_time 32.296411, tti 9716, rnti 95
 sfworker.cc l261 tx_time 32.298411, tti 9718, rnti 95
 sfworker.cc l261 tx_time 32.302411, tti 9722, rnti 95
 sfworker.cc l261 tx_time 32.304411, tti 9724, rnti 95
 sfworker.cc l261 tx_time 33.284412, tti 464, rnti 95
 sfworker.cc l261 tx_time 33.294412, tti 474, rnti 95
 sfworker.cc l261 tx_time 33.296412, tti 476, rnti 95
 sfworker.cc l261 tx_time 33.298412, tti 478, rnti 95
 sfworker.cc l261 tx_time 33.302412, tti 482, rnti 95
 sfworker.cc l261 tx_time 33.304412, tti 484, rnti 95
 sfworker.cc l261 tx_time 34.304413, tti 1484, rnti 95
 sfworker.cc l261 tx_time 34.314413, tti 1494, rnti 95
